[0.026s][info][gc] Using Serial
[10.170s][info][gc] GC(67) Pause Young (Allocation Failure) 13M->8M(15M) 0.198ms
[10.171s][info][gc] GC(68) Pause Young (Allocation Failure) 13M->9M(15M) 0.222ms
[10.172s][info][gc] GC(69) Pause Young (Allocation Failure) 13M->9M(15M) 0.216ms
[10.173s][info][gc] GC(70) Pause Young (Allocation Failure) 13M->9M(15M) 0.197ms
[10.174s][info][gc] GC(71) Pause Young (Allocation Failure) 13M->9M(15M) 0.206ms
[10.175s][info][gc] GC(72) Pause Young (Allocation Failure) 13M->9M(15M) 0.166ms
[10.176s][info][gc] GC(73) Pause Young (Allocation Failure) 13M->9M(15M) 0.193ms
[10.177s][info][gc] GC(74) Pause Young (Allocation Failure) 13M->9M(15M) 0.351ms
[10.178s][info][gc] GC(75) Pause Young (Allocation Failure) 14M->9M(15M) 0.195ms
[10.179s][info][gc] GC(76) Pause Young (Allocation Failure) 14M->10M(15M) 0.292ms
[10.180s][info][gc] GC(77) Pause Young (Allocation Failure) 14M->10M(15M) 0.179ms
[10.181s][info][gc] GC(78) Pause Young (Allocation Failure) 14M->10M(15M) 0.177ms
[10.182s][info][gc] GC(79) Pause Young (Allocation Failure) 14M->10M(15M) 0.240ms
[10.183s][info][gc] GC(80) Pause Young (Allocation Failure) 14M->10M(15M) 0.178ms
[10.185s][info][gc] GC(81) Pause Young (Allocation Failure) 14M->10M(15M) 0.173ms
[10.186s][info][gc] GC(82) Pause Young (Allocation Failure) 14M->10M(15M) 0.217ms
[10.187s][info][gc] GC(83) Pause Young (Allocation Failure) 14M->10M(15M) 0.210ms
[10.189s][info][gc] GC(84) Pause Young (Allocation Failure) 14M->10M(15M) 0.217ms
[10.190s][info][gc] GC(85) Pause Young (Allocation Failure) 14M->10M(15M) 0.198ms
[10.191s][info][gc] GC(86) Pause Young (Allocation Failure) 14M->10M(15M) 0.188ms
[10.192s][info][gc] GC(87) Pause Young (Allocation Failure) 14M->10M(15M) 0.248ms
[10.194s][info][gc] GC(88) Pause Young (Allocation Failure) 15M->10M(15M) 0.167ms
[10.194s][info][gc] GC(89) Pause Young (Allocation Failure) 14M->10M(15M) 0.207ms
[10.196s][info][gc] GC(90) Pause Young (Allocation Failure) 15M->15M(15M) 0.025ms
[10.198s][info][gc] GC(91) Pause Full (Allocation Failure) 15M->2M(15M) 2.828ms
[10.200s][info][gc] GC(92) Pause Young (Allocation Failure) 7M->3M(15M) 0.206ms
[10.201s][info][gc] GC(93) Pause Young (Allocation Failure) 7M->3M(15M) 0.190ms
[10.202s][info][gc] GC(94) Pause Young (Allocation Failure) 7M->2M(15M) 0.171ms
[10.203s][info][gc] GC(95) Pause Young (Allocation Failure) 7M->3M(15M) 0.189ms
[10.204s][info][gc] GC(96) Pause Young (Allocation Failure) 7M->3M(15M) 0.181ms
[10.205s][info][gc] GC(97) Pause Young (Allocation Failure) 7M->3M(15M) 0.185ms
[10.206s][info][gc] GC(98) Pause Young (Allocation Failure) 7M->3M(15M) 0.204ms
[10.208s][info][gc] GC(99) Pause Young (Allocation Failure) 7M->3M(15M) 0.226ms
[10.209s][info][gc] GC(100) Pause Young (Allocation Failure) 7M->3M(15M) 0.199ms
